Gonzaga ,Baylor ,Illinois ,Michigan 
Iowa ,Ohio State ,Houston ,Alabama 
Kansas ,Arkansas ,West Virginia ,Texas 
Virginia ,Purdue ,Oklahoma State ,Florida State 
Creighton ,Villanova ,Tennessee ,Colorado 
USC ,Texas Tech ,San Diego State ,BYU 
Oregon ,Florida ,Clemson ,UConn 
Oklahoma ,North Carolina ,Loyola Chicago ,LSU 
Missouri ,Wisconsin ,Georgia Tech ,St Bonaventure 
VCU ,Virginia Tech ,Rutgers ,Maryland 
Wichita State,Utah State ,Syracuse ,Michigan State
UC Santa Barbara ,Winthrop ,Oregon State ,Georgetown 
Ohio ,North Texas ,Liberty ,UNC Greensboro 
Eastern Washington ,Colgate ,Morehead State ,Abiliene Christian
Grand Canyon ,Oral Roberts ,Cleveland State ,Iona 
Norfolk State,Hartford ,Drexel ,Mount St Mary's
Appalachian State,bye,bye,Texas Southern
bye,bye,bye,bye
bye,bye,bye,bye
bye,bye,bye,bye
bye,bye,bye,bye
Drake,bye,bye,UCLA
