Florida,2129
Houston,2123
Duke,2106
Auburn,2069
St. John's,2058
Michigan St.,2036
Tennessee,2014
Alabama,2002
Maryland,1990
Texas Tech,1971
Gonzaga,1955
Arizona,1954
Clemson,1944
Wisconsin,1938
Louisville,1937
UConn,1934
Saint Mary's (CA),1925
Iowa St.,1925
BYU,1915
Michigan,1899
North Carolina,1889
VCU,1889
Texas A&M,1887
Creighton,1887
Marquette,1886
Illinois,1885
Memphis,1871
New Mexico,1870
Drake,1869
Oregon,1866
UC San Diego,1862
Boise St.,1858
Colorado St.,1856
Baylor,1854
Purdue,1852
Kentucky,1849
Kansas,1842
Ole Miss,1840
Missouri,1837
Xavier,1832
UCLA,1828
Georgia,1823
Oklahoma,1802
Northwestern,1802
Mississippi St.,1799
Arkansas,1791
Utah St.,1787
Liberty,1785
Villanova,1774
SMU,1768
San Diego St.,1768
Penn St.,1765
Yale,1759
Indiana,1759
Texas,1756
Ohio St.,1755
George Mason,1754
Santa Clara,1751
Wake Forest,1749
Dayton,1746
Iowa,1744
San Francisco,1735
UC Irvine,1733
Grand Canyon,1724
USC,1722
Cincinnati,1718
High Point,1718
West Virginia,1706
Vanderbilt,1705
Kansas St.,1704
North Texas,1700
Nebraska,1697
Chattanooga,1693
Saint Joseph's,1690
Loyola Chicago,1684
Rutgers,1683
McNeese,1683
Bradley,1678
Stanford,1678
Arkansas St.,1673
Utah Valley,1672
South Carolina,1671
UCF,1665
UNLV,1663
Butler,1660
UNC Wilmington,1654
Troy,1652
Colorado,1645
Akron,1643
UAB,1641
Lipscomb,1641
Minnesota,1638
Pittsburgh,1638
Nevada,1635
Northern Iowa,1634
Arizona St.,1633
Utah,1631
TCU,1630
Tulane,1628
Jacksonville St.,1626
Oklahoma St.,1619
Georgetown,1617
Northern Colorado,1615
Saint Louis,1614
Belmont,1614
Bryant,1612
Robert Morris,1612
Virginia,1611
Florida St.,1609
Florida Atlantic,1608
Cal State Northridge,1607
Wofford,1603
LSU,1601
Cornell,1600
College of Charleston,1596
Oregon St.,1596
Syracuse,1591
Kent St.,1590
George Washington,1587
Furman,1586
Georgia Tech,1586
Montana,1583
Washington St.,1582
NC State,1580
New Mexico St.,1580
North Alabama,1579
Omaha,1579
Towson,1578
